"market_id","created_at","actual_delivery_time","store_id","store_primary_category","order_protocol","total_items","subtotal","num_distinct_items","min_item_price","max_item_price","total_onshift_dashers","total_busy_dashers","total_outstanding_orders","estimated_order_place_duration","estimated_store_to_consumer_driving_duration"
"1",2015-02-15 01:26:20,2015-02-15 02:16:07,"e8542a04d734d0cae36d648b3f519e5c","italian","1",2,2800,2,1200,1600,21,17,16,446,421
"1",2015-02-02 05:27:49,2015-02-02 07:05:09,"e8542a04d734d0cae36d648b3f519e5c","italian","1",7,14900,5,1200,3900,8,11,11,446,901
"1",2015-02-16 02:21:20,2015-02-16 03:54:14,"e8542a04d734d0cae36d648b3f519e5c","italian","1",3,3400,3,1400,2100,22,21,39,446,501
"1",2015-02-13 01:01:58,2015-02-13 01:40:09,"e8542a04d734d0cae36d648b3f519e5c","italian","1",3,3800,3,700,1600,16,9,7,446,344
"1",2015-01-24 02:01:20,2015-01-24 02:46:13,"e8542a04d734d0cae36d648b3f519e5c","italian","1",1,1800,1,1800,1800,27,25,24,446,424
"1",2015-02-10 04:36:39,2015-02-10 05:20:37,"e8542a04d734d0cae36d648b3f519e5c","italian","1",4,5800,4,700,2000,13,16,27,446,344
"1",2015-01-26 02:09:48,2015-01-26 02:47:22,"e8542a04d734d0cae36d648b3f519e5c","italian","1",3,3800,3,800,1800,21,18,20,446,530
"1",2015-02-07 01:44:26,2015-02-07 02:48:06,"e8542a04d734d0cae36d648b3f519e5c","italian","1",1,1800,1,1800,1800,22,21,20,446,434
"1",2015-01-30 01:43:09,2015-01-30 02:20:42,"e8542a04d734d0cae36d648b3f519e5c","italian","1",2,2700,2,1200,1500,16,16,13,446,456
"3",2015-01-30 19:49:30,2015-01-30 20:28:45,"50905d7b2216bfeccb5b41016357176b","sandwich","2",4,3490,3,175,850,16,16,21,251,298
"1",2015-01-28 20:33:04,2015-01-28 21:04:14,"50905d7b2216bfeccb5b41016357176b",NA,NA,3,1765,3,275,895,22,21,24,251,490
"1",2015-02-12 20:27:42,2015-02-12 21:18:29,"50905d7b2216bfeccb5b41016357176b",NA,"2",1,975,1,975,975,24,25,30,251,487
"1",2015-01-28 21:37:38,2015-01-28 22:11:53,"50905d7b2216bfeccb5b41016357176b",NA,"2",3,1425,3,175,900,13,12,7,251,704
"2",2015-02-09 20:29:30,2015-02-09 21:17:34,"50905d7b2216bfeccb5b41016357176b","thai","5",1,1220,1,825,825,21,21,20,251,835
"1",2015-01-21 20:35:27,2015-01-21 21:01:26,"50905d7b2216bfeccb5b41016357176b",NA,"2",2,1750,2,825,825,18,18,20,251,259
"1",2015-02-16 19:19:17,2015-02-16 20:16:43,"50905d7b2216bfeccb5b41016357176b",NA,"2",8,7870,6,825,895,12,11,9,251,98
"1",2015-01-27 20:26:19,2015-01-27 21:03:53,"50905d7b2216bfeccb5b41016357176b",NA,"2",2,1725,2,825,900,21,18,18,251,294
"1",2015-01-22 20:19:08,2015-01-22 21:07:43,"50905d7b2216bfeccb5b41016357176b",NA,"2",3,2015,3,395,1025,22,13,13,251,740
"1",2015-02-10 20:05:17,2015-02-10 20:34:43,"50905d7b2216bfeccb5b41016357176b",NA,"2",1,1220,1,825,825,21,21,20,251,835
"1",2015-01-27 18:32:58,2015-01-27 19:02:09,"197e342c9fbad962dbe6d3322f723ca6","cafe","4",2,595,2,200,295,5,1,1,251,186
"4",2015-02-07 01:36:34,2015-02-07 02:46:27,"ea119a40c1592979f51819b0bd38d39d","italian","1",4,5500,4,700,1900,117,112,178,446,588
"4",2015-02-14 03:04:07,2015-02-14 04:25:25,"ea119a40c1592979f51819b0bd38d39d","italian","1",5,5400,3,600,2200,130,129,230,446,795
"4",2015-02-08 02:50:54,2015-02-08 04:03:49,"ea119a40c1592979f51819b0bd38d39d","italian","1",4,7104,3,751,2191,121,119,205,446,530
NA,2015-02-09 03:27:37,2015-02-09 04:22:18,"ea119a40c1592979f51819b0bd38d39d","italian","1",2,2400,2,600,1800,94,92,149,446,287
"3",2015-02-12 03:12:08,2015-02-12 03:44:48,"0738069b244a1c43c83112b735140a16","american","5",5,6200,5,500,1800,34,30,28,251,86
"3",2015-02-18 04:26:00,2015-02-18 05:05:00,"0738069b244a1c43c83112b735140a16","american","5",2,2800,2,1000,1800,18,15,15,251,821
"3",2015-02-15 04:09:59,2015-02-15 04:50:02,"0738069b244a1c43c83112b735140a16","american","5",4,5800,4,600,2400,33,33,42,251,179
"3",2015-02-17 21:34:38,2015-02-17 22:04:26,"0738069b244a1c43c83112b735140a16","american","5",2,2641,2,625,1240,27,22,24,251,89
"3",2015-02-14 05:34:07,2015-02-14 06:15:13,"0738069b244a1c43c83112b735140a16","american","5",2,2500,2,600,1900,17,13,12,251,898
"3",2015-02-06 03:03:15,2015-02-06 03:43:43,"0738069b244a1c43c83112b735140a16","american","5",3,3300,3,600,1800,38,37,43,251,648
"3",2015-02-17 01:14:22,2015-02-17 01:52:26,"0738069b244a1c43c83112b735140a16","american","5",4,5100,4,500,1900,16,16,26,251,1056
"3",2015-02-01 04:39:28,2015-02-01 05:08:39,"0738069b244a1c43c83112b735140a16","american","5",4,3500,4,600,1200,20,29,33,251,887
"3",2015-01-23 00:38:47,2015-01-23 00:59:51,"0738069b244a1c43c83112b735140a16","american","5",3,3500,3,500,1900,16,5,5,251,271
"3",2015-01-22 20:31:45,2015-01-22 21:17:51,"0738069b244a1c43c83112b735140a16","american","5",2,3600,1,1800,1800,21,21,21,251,469
"3",2015-01-26 22:22:56,2015-01-26 22:54:35,"0738069b244a1c43c83112b735140a16","american","5",7,9000,7,600,2400,15,12,11,251,679
"3",2015-02-10 03:05:36,2015-02-10 03:38:43,"0738069b244a1c43c83112b735140a16","american","5",3,4709,3,1197,1596,34,29,30,251,551
"3",2015-01-23 21:06:30,2015-01-23 21:41:57,"0738069b244a1c43c83112b735140a16","american","5",2,2800,2,1000,1800,21,23,24,251,828
"3",2015-01-25 02:16:56,2015-01-25 02:58:53,"0738069b244a1c43c83112b735140a16","american","5",10,9800,6,600,1200,39,37,37,251,723
"3",2015-01-28 03:31:13,2015-01-28 04:31:26,"0738069b244a1c43c83112b735140a16","american","5",2,2800,2,1000,1800,21,23,27,251,828
"3",2015-01-31 01:44:15,2015-01-31 02:30:17,"0738069b244a1c43c83112b735140a16","american","5",2,2800,2,1300,1500,26,25,24,251,470
"3",2015-01-31 03:10:05,2015-01-31 04:05:54,"0738069b244a1c43c83112b735140a16","american","5",6,5800,6,500,1500,30,31,46,251,729
"3",2015-01-24 01:47:46,2015-01-24 02:20:15,"0738069b244a1c43c83112b735140a16","american","5",6,5500,6,500,1300,35,31,28,251,663
"3",2015-02-18 02:56:08,2015-02-18 03:31:40,"0738069b244a1c43c83112b735140a16","american","5",3,3400,3,600,1900,34,34,36,251,678
"3",2015-02-05 02:17:09,2015-02-05 02:52:06,"0738069b244a1c43c83112b735140a16","american","5",4,4900,4,600,2400,33,33,33,251,429
"3",2015-02-14 01:27:19,2015-02-14 02:02:00,"0738069b244a1c43c83112b735140a16","american","5",3,6000,2,1200,2400,24,24,21,251,285
"3",2015-02-17 00:11:00,2015-02-17 01:09:15,"0738069b244a1c43c83112b735140a16","american","5",1,1800,1,1800,1800,11,11,13,251,715
"3",2015-02-05 20:18:13,2015-02-05 20:54:39,"0738069b244a1c43c83112b735140a16","american","5",2,3600,2,1200,2400,20,20,18,251,891
"3",2015-02-04 21:57:23,2015-02-04 22:43:33,"0738069b244a1c43c83112b735140a16","american","5",1,1800,1,1800,1800,14,9,9,251,469
"4",2015-02-11 01:07:54,2015-02-11 01:48:15,"0738069b244a1c43c83112b735140a16","salad","1",5,4600,5,600,1200,12,13,14,251,163
"3",2015-02-15 05:32:36,2015-02-15 06:25:38,"0738069b244a1c43c83112b735140a16","american","5",2,1600,2,600,1000,13,13,16,251,382
"3",2015-02-06 22:41:27,2015-02-06 23:30:50,"0738069b244a1c43c83112b735140a16","american","5",1,1500,1,1500,1500,12,14,15,251,446
"3",2015-01-29 03:03:49,2015-01-29 03:38:45,"0738069b244a1c43c83112b735140a16","american","5",4,5200,2,800,1800,35,30,29,251,406
"2",2015-02-13 03:48:58,2015-02-13 04:26:51,"0738069b244a1c43c83112b735140a16","pizza","2",4,2300,3,400,900,32,30,37,251,555
"3",2015-02-15 02:16:23,2015-02-15 03:20:20,"ba542f3617078b0be2f95e64e425e190","chinese","4",4,3250,4,725,945,29,29,32,446,456
"3",2015-02-12 02:36:17,2015-02-12 03:17:36,"ba542f3617078b0be2f95e64e425e190","chinese","1",5,2943,4,199,945,20,19,18,446,491
"3",2015-02-07 02:12:18,2015-02-07 02:48:56,"ba542f3617078b0be2f95e64e425e190","chinese","1",6,3628,5,199,945,34,23,18,446,691
"3",2015-01-25 02:30:24,2015-01-25 03:30:19,"ba542f3617078b0be2f95e64e425e190","chinese","1",4,2595,4,450,875,25,24,28,446,924
"3",2015-01-30 02:59:15,2015-01-30 03:38:45,"ba542f3617078b0be2f95e64e425e190","chinese","1",3,2355,3,475,935,23,23,27,446,512
"3",2015-01-31 02:57:36,2015-01-31 03:24:37,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",3,1693,3,109,800,61,62,72,446,388
"3",2015-01-26 02:51:14,2015-01-26 03:27:36,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",3,1967,3,269,899,41,28,27,446,749
"3",2015-02-01 01:47:43,2015-02-01 02:17:19,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",3,2168,3,500,800,58,44,43,446,785
"3",2015-01-27 00:45:03,2015-01-27 01:23:41,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",3,1889,3,350,800,14,13,14,446,587
"3",2015-02-12 02:35:53,2015-02-12 03:04:50,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",2,1153,2,289,685,51,39,41,446,696
"3",2015-02-07 01:25:26,2015-02-07 02:12:04,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",2,1658,2,779,879,32,32,37,446,178
"3",2015-02-14 02:34:01,2015-02-14 03:29:41,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",5,3608,5,299,799,57,53,54,446,517
"3",2015-01-24 03:27:33,2015-01-24 03:58:51,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",1,978,1,799,799,60,52,49,446,771
"3",2015-02-05 20:05:59,2015-02-05 21:39:16,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",2,1706,2,749,789,23,23,23,446,603
"3",2015-02-07 23:45:40,2015-02-08 00:37:08,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",2,1150,2,350,800,17,13,13,446,755
"3",2015-01-24 03:10:14,2015-01-24 04:00:39,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","4",3,2600,3,685,800,60,59,56,446,529
"3",2015-02-07 02:17:38,2015-02-07 03:00:59,"a8aa681aaa4588a8dbd3b42b26d59a1a","mexican","1",2,884,2,199,685,58,57,60,446,531
"3",2015-01-29 18:56:20,2015-01-29 19:26:39,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,975,1,975,975,2,2,1,251,NA
"3",2015-02-16 22:09:05,2015-02-16 23:11:11,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,1125,1,975,975,7,7,7,251,813
"3",2015-02-16 00:30:26,2015-02-16 01:50:42,"da353f402faf6cf475d4abd1450b0882","sandwich","3",4,2600,4,150,1325,6,6,10,251,634
"3",2015-01-22 18:37:17,2015-01-22 19:26:50,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,975,1,975,975,4,3,4,251,745
"3",2015-01-26 19:55:22,2015-01-26 21:19:06,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,970,2,195,675,3,3,5,251,651
"3",2015-01-23 05:00:44,2015-01-23 05:42:03,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,970,2,195,675,4,5,5,251,532
"3",2015-02-11 02:11:15,2015-02-11 02:58:00,"da353f402faf6cf475d4abd1450b0882","sandwich","3",5,2475,3,150,975,7,8,5,251,380
"2",2015-02-18 02:37:10,2015-02-18 03:17:06,"da353f402faf6cf475d4abd1450b0882","mexican","4",4,4800,2,675,1325,8,8,8,251,834
"3",2015-02-08 04:58:25,2015-02-08 05:39:04,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,1320,3,150,975,7,8,9,251,338
"3",2015-01-31 23:45:47,2015-02-01 00:43:56,"da353f402faf6cf475d4abd1450b0882","sandwich","3",4,1770,4,150,975,2,3,2,251,384
"3",2015-02-07 20:39:43,2015-02-07 21:22:46,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,3345,3,506,1479,19,10,4,251,836
"3",2015-01-31 22:15:00,2015-01-31 23:17:13,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,2100,3,150,1325,2,2,3,251,825
"3",2015-02-14 23:37:41,2015-02-15 00:41:56,"da353f402faf6cf475d4abd1450b0882","sandwich","3",4,1825,3,150,675,4,2,3,251,826
"3",2015-02-03 22:01:36,2015-02-03 22:39:23,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,975,1,975,975,4,2,3,251,745
"3",2015-02-08 22:50:16,2015-02-08 23:16:59,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,1950,1,975,975,4,4,4,251,745
"3",2015-02-14 21:53:31,2015-02-14 22:27:08,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,775,1,675,675,4,2,4,251,399
"3",2015-02-05 01:04:53,2015-02-05 01:57:54,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,2675,3,350,1325,4,4,4,251,629
"3",2015-02-10 21:51:54,NA,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,1125,1,975,975,7,5,4,251,488
"3",2015-02-01 22:14:31,2015-02-01 23:19:55,"da353f402faf6cf475d4abd1450b0882","sandwich","3",5,2100,4,150,675,6,6,7,251,875
"3",2015-02-12 03:34:27,2015-02-12 04:10:35,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,1550,1,675,675,9,6,6,251,551
"3",2015-01-31 03:38:01,2015-01-31 04:14:25,"da353f402faf6cf475d4abd1450b0882","sandwich","3",4,3150,2,350,975,7,10,10,251,331
"3",2015-01-27 19:17:49,2015-01-27 20:03:09,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,1350,1,675,675,3,3,2,251,656
"3",2015-02-03 22:06:42,2015-02-03 22:36:44,"da353f402faf6cf475d4abd1450b0882","sandwich","3",5,3675,4,175,1325,3,3,3,251,432
"3",2015-01-24 21:08:29,2015-01-24 21:53:36,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,775,1,675,675,4,3,1,251,434
"3",2015-02-15 20:51:07,2015-02-15 21:47:12,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,1850,3,350,975,6,6,7,251,778
"3",2015-01-26 20:18:34,2015-01-26 21:54:44,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,2925,2,675,1125,4,4,6,251,427
"3",2015-02-17 19:12:06,2015-02-17 20:05:26,"da353f402faf6cf475d4abd1450b0882","sandwich","3",2,1425,2,350,975,7,6,4,251,502
"3",2015-01-29 18:57:00,2015-01-29 19:39:41,"da353f402faf6cf475d4abd1450b0882","sandwich","3",3,1575,3,150,975,2,2,1,251,629
"3",2015-02-05 03:08:33,2015-02-05 04:15:07,"da353f402faf6cf475d4abd1450b0882","sandwich","3",5,5925,2,675,1325,8,8,11,251,807
"3",2015-02-06 04:02:26,2015-02-06 04:48:03,"da353f402faf6cf475d4abd1450b0882","sandwich","3",1,875,1,675,675,5,5,6,251,692
"3",2015-01-22 19:54:02,2015-01-22 20:44:52,"da353f402faf6cf475d4abd1450b0882","sandwich","3",9,3850,5,150,675,6,4,5,251,700
"4",2015-02-18 02:26:21,2015-02-18 03:27:03,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",6,9350,6,950,2800,108,100,154,251,776
"4",2015-02-03 02:47:35,2015-02-03 04:10:33,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",1,1400,1,1400,1400,72,72,144,251,718
"4",2015-02-11 04:59:01,2015-02-11 05:33:01,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",1,1400,1,1400,1400,39,30,34,251,734
"4",2015-01-30 04:12:03,2015-01-30 04:47:06,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,3100,2,300,2800,89,81,100,251,876
"4",2015-01-24 01:46:26,2015-01-24 02:45:08,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",6,7110,5,422,1887,112,106,173,251,750
"4",2015-01-26 20:56:22,2015-01-26 22:00:49,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",1,1000,1,1000,1000,55,84,80,251,700
"4",2015-02-14 03:16:07,2015-02-14 04:28:16,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",4,4150,4,200,1600,126,122,202,251,984
"4",2015-01-27 01:48:27,2015-01-27 02:26:10,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,3800,1,1900,1900,80,109,124,251,131
"4",2015-01-22 04:20:54,2015-01-22 04:43:35,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2200,2,300,1900,69,54,56,251,641
"4",2015-02-06 03:34:51,2015-02-06 03:57:57,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2300,2,200,2100,125,89,130,251,124
"4",2015-02-08 02:07:18,2015-02-08 02:54:54,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",4,4250,4,300,1600,113,106,181,251,477
"4",2015-02-12 02:26:21,2015-02-12 03:17:54,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",6,9250,5,300,2800,105,103,188,251,106
"4",2015-02-15 03:26:23,2015-02-15 04:30:02,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2350,2,950,1400,98,91,181,251,679
"4",2015-02-15 01:47:13,2015-02-15 02:54:14,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",8,11200,6,950,2100,86,83,148,251,579
"4",2015-02-01 02:47:41,2015-02-01 03:30:12,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2350,2,950,1400,90,81,150,251,259
"4",2015-02-01 02:15:48,2015-02-01 02:56:36,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",5,5050,4,300,1400,87,75,127,251,408
"4",2015-01-30 03:44:36,2015-01-30 04:16:37,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,3300,2,1500,1800,117,107,160,251,267
"4",2015-01-25 04:30:10,2015-01-25 05:17:22,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",5,8200,5,300,2100,74,102,107,251,989
"4",2015-02-04 04:44:54,2015-02-04 05:14:16,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",3,2750,3,300,1500,35,38,43,251,461
"4",2015-01-23 20:17:17,2015-01-23 20:50:18,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2133,2,294,1542,84,96,123,251,465
"4",2015-02-15 02:29:23,2015-02-15 03:19:46,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",3,2550,3,200,1400,91,80,159,251,657
"4",2015-02-10 21:41:35,2015-02-10 22:10:15,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",1,1000,1,1000,1000,34,23,26,251,734
"4",2015-01-30 21:50:38,2015-01-30 22:36:22,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",2,2000,2,1000,1000,38,32,42,251,996
"4",2015-02-05 02:36:09,2015-02-05 03:31:08,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",3,3850,3,950,1500,96,94,186,251,229
"4",2015-01-30 19:47:20,2015-01-30 20:52:07,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",5,5350,5,300,1400,69,64,143,251,635
"4",2015-01-24 02:27:56,2015-01-24 03:24:32,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",5,8450,5,950,2800,123,117,190,251,106
"4",2015-01-25 03:02:25,2015-01-25 04:04:49,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",3,4450,3,950,2100,101,125,171,251,797
"4",2015-02-13 03:25:32,2015-02-13 04:03:49,"67f7fb873eaf29526a11a9b7ac33bfac","singaporean","3",4,4350,4,300,1900,119,110,181,251,430
"5",2015-02-04 21:33:30,2015-02-04 22:53:51,"24128c84241513596a1be1534a791c3b","burger","4",2,975,2,280,695,5,6,9,251,546
"5",2015-02-09 00:24:09,2015-02-09 00:53:07,"24128c84241513596a1be1534a791c3b","burger","4",6,2114,3,200,440,12,12,12,251,547
"5",2015-01-28 22:31:37,2015-01-28 23:18:41,"24128c84241513596a1be1534a791c3b","burger","4",5,1590,4,200,440,3,4,4,251,641
"5",2015-02-04 23:15:25,2015-02-05 00:06:22,"24128c84241513596a1be1534a791c3b","burger","4",1,990,1,940,940,5,4,5,251,812
"5",2015-01-31 06:12:45,2015-01-31 06:54:38,"24128c84241513596a1be1534a791c3b","burger","4",4,1309,4,190,659,6,7,6,251,338
"5",2015-02-14 04:41:13,2015-02-14 05:29:30,"24128c84241513596a1be1534a791c3b","burger","4",2,1120,1,410,410,21,10,21,251,690
"5",2015-02-13 01:27:32,2015-02-13 02:36:12,"24128c84241513596a1be1534a791c3b","burger","4",3,3137,2,825,1036,29,31,46,251,301
"5",2015-02-14 23:01:02,2015-02-14 23:57:18,"24128c84241513596a1be1534a791c3b","burger","4",4,1364,4,180,440,11,10,12,251,523
"5",2015-02-10 19:39:55,2015-02-10 20:29:49,"24128c84241513596a1be1534a791c3b","burger","4",1,990,1,940,940,15,9,12,251,811
"6",2015-02-06 01:11:56,2015-02-06 01:42:51,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",2,575,2,225,350,NA,NA,NA,251,671
"6",2015-02-14 02:07:47,2015-02-14 03:17:37,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",5,1415,3,185,675,NA,NA,NA,251,893
"6",2015-01-31 21:58:30,2015-01-31 22:55:32,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",1,650,1,650,650,NA,NA,NA,251,479
"6",2015-02-08 03:28:59,2015-02-08 05:32:11,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",5,1550,5,225,700,NA,NA,NA,251,1104
"6",2015-01-23 19:29:17,2015-01-23 20:25:25,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",6,1110,5,185,185,NA,NA,NA,251,584
"6",2015-02-03 22:27:24,2015-02-03 23:09:31,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",8,2115,8,150,650,NA,NA,NA,251,840
"6",2015-01-31 01:35:23,2015-01-31 02:16:43,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",2,1741,2,889,772,NA,NA,NA,251,597
"6",2015-01-24 23:17:11,2015-01-25 00:24:49,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",7,2250,2,225,900,NA,NA,NA,251,361
"6",2015-02-03 21:15:23,2015-02-03 22:38:32,"45d38ce7f5231602e24a2103a0300ae6","breakfast","2",1,3900,1,3900,3900,NA,NA,NA,251,893
"4",2015-01-30 05:28:05,2015-01-30 05:56:07,"a87ff679a2f3e71d9181a67b7542122c","mediterranean","3",5,3355,4,153,1468,41,30,41,251,395
"4",2015-02-07 02:34:41,2015-02-07 03:20:31,"a87ff679a2f3e71d9181a67b7542122c","mediterranean","3",4,2945,3,425,1245,129,128,261,251,380
"4",2015-02-02 19:01:40,2015-02-02 19:27:36,"a87ff679a2f3e71d9181a67b7542122c","mediterranean","3",3,4335,1,1445,1445,26,27,33,251,458
"4",2015-01-21 19:23:06,2015-01-21 20:15:06,"a87ff679a2f3e71d9181a67b7542122c","mediterranean","3",3,2270,3,425,1245,66,64,132,251,367
"4",2015-02-05 05:14:58,2015-02-05 06:17:28,"a87ff679a2f3e71d9181a67b7542122c","mediterranean","3",4,5135,4,600,1745,34,35,67,251,778
